state_perminute_job.job_id	state_perminute_job.minute_start	state_perminute_job.system	state_perminute_job.user_key	state_perminute_job.measure_date	state_perminute_job.queue	state_perminute_job.memory_job	state_perminute_job.vcores_job
job_1435714271812_17350	1436745840	iheartradio	HEADLESS:412460103	2015-07-13	default	0.0	0.0
job_1435714271812_17351	1436745780	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17351	1436745840	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17351	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17352	1436745840	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17352	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17353	1436745840	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17353	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17353	1436745960	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17353	1436746020	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17353	1436746080	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17353	1436746140	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17353	1436746200	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17354	1436745840	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17354	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17355	1436745840	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17355	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17356	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17356	1436745960	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17357	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17357	1436745960	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17357	1436746020	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17357	1436746080	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17357	1436746140	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17358	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17358	1436745960	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17358	1436746020	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17358	1436746080	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17359	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17360	1436745900	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17360	1436745960	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17360	1436746020	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17360	1436746080	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17360	1436746140	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17360	1436746200	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
job_1435714271812_17360	1436746260	iheartradio	HEADLESS:412460103	2015-07-13	production	0.0	0.0
