initial_spark_compare.job_id	initial_spark_compare.max_capacity_memory_delayed	initial_spark_compare.user_limit_memory_delayed	initial_spark_compare.elastic_unfariness_memory_delayed	initial_spark_compare.competing_jobs_memory_delayed	initial_spark_compare.total_memory_delayed	initial_spark_compare.memory_waiting	initial_spark_compare.max_mem_capacity_robbed_mbsec	initial_spark_compare.elastic_unfairness_mem_capped_mbsec	initial_spark_compare.competing_job_mem_capped_mbsec
job_1435714271812_11275	1292637.1840000001	0.0	0.0	0.0	1395742.7200000002	250368.0	0.0	0.0	0.0
job_1435714271812_10528	0.0	0.0	0.0	0.0	414262.784	24576.0	0.0	0.0	0.0
job_1435714271812_11267	1155986.9440000001	0.0	0.0	0.0	4703471.616	3215360.0	0.0	0.0	0.0
job_1435714271812_10644	1.1577815040000001E7	0.0	0.0	0.0	2.5570907648000002E7	2.0717568E7	0.0	0.0	0.0
job_1435714271812_11441	1.956288512E7	0.0	0.0	0.0	1.0458941081600001E8	9.6244736E7	0.0	0.0	0.0
job_1435714271812_11434	1.7110855680000003E7	0.0	0.0	0.0	1.9151731712E7	1.1945472E7	0.0	0.0	0.0
job_1435714271812_10656	0.0	0.0	0.0	0.0	334002.688	122880.0	0.0	0.0	0.0
job_1435714271812_11340	1202544.128	0.0	12103.68	0.0	1303506.432	327680.0	0.0	0.0	0.0
job_1435714271812_11272	52058.112	0.0	0.0	0.0	1413527.04	1122816.0	0.0	0.0	0.0
job_1435714271812_10509	606688.256	0.0	10856.448	0.0	1197941.2480000001	32768.0	0.0	0.0	0.0
job_1435714271812_11205	2065113.0879999998	0.0	8222.208	0.0	2261415.4239999996	28672.0	0.0	0.0	0.0
job_1435714271812_11422	1.6438079488E7	0.0	0.0	0.0	8.3654047744E7	7.4325504E7	0.0	41472.0	0.0
job_1435714271812_11265	2266262.5279999995	0.0	0.0	0.0	2523013.6319999998	614400.0	0.0	0.0	0.0
job_1435714271812_11421	1.9876012032E7	0.0	0.0	0.0	5.4705854975999996E7	4.367872E7	0.0	47616.0	0.0
job_1435714271812_10515	0.0	0.0	0.0	0.0	437286.912	282624.0	0.0	0.0	0.0
job_1435714271812_11171	3159062.5280000004	0.0	65897.984	1.536	3250750.4640000006	3403776.0	3403776.0	0.0	0.0
job_1435714271812_11398	1.0256539648E7	0.0	0.0	0.0	1.1829202688000001E8	1.14264576E8	0.0	0.0	0.0
job_1435714271812_10639	309749.7599999999	0.0	0.0	0.0	1289075.2	35840.0	0.0	0.0	0.0
job_1435714271812_11309	1118848.5119999999	0.0	0.0	0.0	1147612.16	32768.0	0.0	0.0	0.0
job_1435714271812_10773	4055555.0719999997	0.0	12725.759999999998	0.0	4123747.3279999997	1294336.0	0.0	0.0	0.0
job_1435714271812_11369	1.6978120704000004E7	0.0	0.0	0.0	7.239578470399998E7	6.7932672E7	0.0	86016.0	0.0
job_1435714271812_11343	1.9993653248E7	0.0	144.38400000000001	0.0	8.2024062464E7	7.1077888E7	0.0	0.0	0.0
job_1435714271812_10643	8524253.184	0.0	0.0	0.0	8536648.192	5623808.0	0.0	0.0	0.0
job_1435714271812_11485	0.0	0.0	0.0	0.0	3.0360123392E7	1.51962112E8	0.0	1.425408E7	0.0
job_1435714271812_11494	0.0	0.0	0.0	0.0	195025.91999999998	1.8578944E7	0.0	133632.0	0.0
job_1435714271812_10752	1848221.184	0.0	0.0	0.0	1909374.464	789504.0	0.0	0.0	0.0
job_1435714271812_11352	3.3387589632000003E7	0.0	0.0	0.0	1.2747574988800001E8	1.21071616E8	0.0	4462592.0	0.0
job_1435714271812_11165	1.1190512127999997E7	0.0	67711.488	54494.208000000006	1.1539608064E7	4606464.0	4606464.0	0.0	0.0
job_1435714271812_10626	785448.96	0.0	0.0	0.0	2487805.952	901120.0	0.0	0.0	0.0
job_1435714271812_11277	180662.272	0.0	0.0	0.0	2625938.432	1658880.0	0.0	0.0	0.0
job_1435714271812_11282	1.1575498496E8	0.0	0.0	0.0	1.16298693632E8	1.0964992E8	0.0	0.0	0.0
job_1435714271812_11366	1.6048664575999998E7	0.0	0.0	0.0	4.2935351808000006E7	3.9510016E7	0.0	86016.0	0.0
job_1435714271812_11394	1.12792576E7	0.0	0.0	0.0	6.816924057599999E7	6.3300096E7	0.0	121344.0	0.0
job_1435714271812_11346	1.8195263487999998E7	0.0	1735.6799999999998	0.0	1.7967226931199998E8	1.69193472E8	0.0	131072.0	0.0
job_1435714271812_11179	1.4847064575999986E7	0.0	253284.864	0.0	1.5107709951999988E7	4256256.0	4256256.0	0.0	0.0
job_1435714271812_11242	2787815.4239999996	0.0	1657.344	0.0	1.0966228992E7	7798784.0	0.0	0.0	0.0
job_1435714271812_11389	0.0	0.0	0.0	0.0	858289.1520000001	422400.0	0.0	276480.0	145920.0
job_1435714271812_11166	8244892.160000008	0.0	259589.12000000002	1.536	8575091.712000007	4051968.0	4048896.0	0.0	0.0
job_1435714271812_11388	280226.304	0.0	0.0	0.0	720678.9120000001	199680.0	0.0	0.0	199680.0
job_1435714271812_11418	1.6426397695999999E7	0.0	0.0	0.0	1.6989530521600002E8	1.63390464E8	0.0	376832.0	0.0
job_1435714271812_10654	1301463.04	0.0	0.0	0.0	1315076.6080000002	1155072.0	0.0	0.0	0.0
job_1435714271812_10648	0.0	0.0	0.0	0.0	797965.8239999999	13824.0	0.0	0.0	0.0
